Date,BidOpen,BidHigh,BidLow,BidClose,AskOpen,AskHigh,AskLow,AskClose,Volume,Open,High,Low,Close,Median,ao,ac,jaw,teeth,lips,bjaw,bteeth,blips,tjaw,tteeth,tlips,fh,fl,fh3,fl3,fh5,fl5,fh8,fl8,fh13,fl13,fh21,fl21,fh34,fl34,fh55,fl55,fh89,fl89,mfi,fdbb,fdbs,fdb,aoaz,aobz,zlc,zlcb,zlcs,zcol,zone_sig,sz,bz,acs,acb,ss,sb,mfi_sq,mfi_green,mfi_fade,mfi_fake,mfi_sig,mfi_str,mfi_str_W1,mfi_str_M1,mfi_str_D1,zcol_W1,zcol_M1,zcol_D1
2025-03-25 13:00:00,5779.35,5789.66,5764.66,5774.77,5779.95,5790.16,5765.16,5775.27,46488,5779.65,5789.91,5764.91,5775.02,5777.41,0.17296143466,0.01528351846,5662.2038656185,5696.61904002905,5731.64600822951,5913.83316420971,5778.25674178619,5687.76656235596,5965.13499471611,6002.37336790726,6007.45985418138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.77731887799,0,1,-1,1,0,0,0,0,gray,0,0,0,1,0,0,0,1,0,0,0,1,+-,-+,+-,--,red,gray,gray
2025-03-25 17:00:00,5774.77,5784.61,5762.15,5784.45,5775.27,5785.21,5762.65,5784.85,28430,5775.02,5784.91,5762.4,5784.65,5773.655,0.17045350588,0.00114776974,5667.43818364784,5705.00416002542,5737.44780658361,5910.24734213994,5776.19161920826,5688.1532811102,5965.37008756832,6002.95820323813,6006.13113991623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.17692578262,0,0,0,1,0,0,0,0,gray,0,0,0,0,0,0,0,0,0,0,1,2,-+,-+,+-,--,red,gray,gray
2025-03-25 21:00:00,5784.45,5790.33,5782.57,5788.08,5784.85,5790.93,5783.17,5788.68,3225,5784.65,5790.63,5782.87,5788.38,5786.75,0.17280355773,0.00250109886,5673.76063105955,5712.33614002224,5744.16424526689,5906.86051807095,5774.23222613175,5687.50274343049,5965.64037911323,6003.53608648604,6004.79811116681,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,240.62015503877,0,0,0,1,0,0,0,0,gray,0,0,0,0,0,0,0,0,0,0,1,2,-+,-+,+-,++,red,gray,gray
2025-03-26 01:00:00,5788.08,5788.08,5776.57,5779.83,5788.68,5788.68,5777.17,5780.43,3584,5788.38,5788.38,5776.87,5780.13,5782.625,0.17480426359,0.00487590139,5680.57750559343,5718.37599751946,5750.81339621351,5903.47742236229,5772.26736747481,5687.06273627077,5965.91722160895,6004.0873264582,6003.54204789482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321.14955357143,0,0,0,1,0,0,0,0,green,1,0,1,0,0,0,0,0,1,0,0,4,++,-+,+-,++,red,gray,gray
2025-03-26 05:00:00,5779.83,5782.09,5769.83,5772.34,5780.43,5782.69,5770.43,5772.94,8419,5780.13,5782.39,5770.13,5772.64,5776.26,0.16796155311,-0.00919940926,5686.9715436247,5724.95774782953,5755.38171697081,5899.97503559417,5769.64523352072,5686.31589108633,5966.16980192299,6004.63838943477,6002.17373506222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.62299560518,0,0,0,1,0,0,0,0,gray,0,0,0,0,0,0,0,1,0,0,0,1,+-,-+,+-,++,red,gray,gray
2025-03-26 09:00:00,5772.34,5785.09,5767.33,5783.32,5772.94,5785.69,5767.93,5783.92,11786,5772.64,5785.39,5767.63,5783.62,5776.51,0.15773630361,-0.02642195832,5692.87065565358,5731.51427935084,5761.65537357664,5896.25531609311,5766.82077472943,5685.66998252497,5966.41872817783,6005.18970535995,6000.6551327354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.68725606652,0,0,0,1,0,0,0,0,red,-1,1,0,0,0,0,0,0,1,0,0,4,++,-+,+-,++,red,gray,gray
2025-03-26 13:00:00,5783.32,5788.39,5717.62,5719.63,5783.92,5788.89,5718.12,5720.13,68370,5783.62,5788.64,5717.87,5719.88,5753.255,0.14137153076,-0.05172339358,5698.08483598792,5736.78186943198,5765.84929886132,5892.78626759768,5764.19812427981,5685.10174774483,5966.69020369991,6005.64747486484,5999.4482220914,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.51031154015,0,0,0,1,0,0,0,0,red,-1,1,0,0,0,0,0,1,0,0,0,1,+-,-+,+-,++,red,gray,gray
2025-03-26 17:00:00,5719.63,5727.14,5696.87,5708.67,5720.13,5727.64,5697.37,5709.07,54042,5719.88,5727.39,5697.12,5708.87,5712.255,0.10548651182,-0.10550407124,5703.69600245038,5743.02788575298,5767.93143908905,5889.06465223142,5761.72315838381,5684.08346104645,5966.99831987047,6006.09362304139,5998.33694971576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.01199067392,0,0,0,1,0,0,0,0,red,-1,1,0,0,0,0,0,0,0,1,0,3,--,-+,+-,++,red,gray,gray
2025-03-26 21:00:00,5708.67,5709.33,5685.34,5705.07,5709.07,5709.93,5686.64,5705.67,14051,5708.87,5709.63,5685.99,5705.37,5697.81,0.06554790098,-0.14888852589,5709.3663099542,5747.97752503386,5769.64715127124,5885.03875726253,5759.09319186774,5682.62821219214,5967.33011477797,6006.58847873649,5997.2238458983,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.24425307808,1,0,1,1,0,0,0,0,red,-1,1,0,0,0,0,0,0,0,0,1,2,-+,-+,+-,+-,red,gray,gray
2025-03-27 01:00:00,5705.07,5724.33,5704.07,5722.71,5705.67,5724.93,5704.67,5723.31,5901,5705.37,5724.63,5704.37,5723.01,5714.5,0.03467302953,-0.15900386047,5714.31159380388,5751.51283440463,5766.36872101699,5881.25950156295,5756.6769520156,5681.09444124532,5967.67526036212,6007.06728354878,5995.93704835734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343.33163870531,0,0,0,1,0,0,0,0,red,-1,1,0,0,0,0,0,0,0,0,1,2,-+,-+,+-,+-,red,gray,gray
2025-03-27 05:00:00,5722.71,5727.59,5697.82,5718.71,5723.31,5728.19,5698.42,5719.31,20509,5723.01,5727.89,5698.12,5719.01,5713.005,0.00444381944,-0.15797416937,5719.88377889589,5754.63748010405,5755.5459768136,5877.6680464892,5754.68646197895,5680.3226929734,5968.0327663028,6007.5445913447,5994.41953413263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.15578526501,1,0,1,1,0,0,0,0,gray,0,0,0,0,0,0,0,1,0,0,0,1,+-,-+,+-,+-,red,gray,gray
2025-03-27 09:00:00,5718.71,5724.59,5699.32,5706.57,5719.31,5725.19,5699.92,5707.17,24657,5719.01,5724.89,5699.62,5706.87,5712.255,-0.01479648212,-0.12920692818,5724.71002667313,5754.46467009104,5743.99878145088,5874.08756282079,5753.22520812479,5680.56849612124,5968.40722846115,6008.03916391404,5992.8535651456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.48610942126,0,0,0,0,1,-1,0,1,gray,0,0,0,0,1,0,0,1,0,0,0,1,+-,-+,+-,+-,red,gray,gray
2025-03-27 13:00:00,5706.57,5734.39,5674.87,5691.62,5707.17,5734.89,5675.37,5692.12,95929,5706.87,5734.64,5675.12,5691.87,5704.88,-0.01884788719,-0.07927874065,5728.67540923673,5749.18846132966,5738.0990251607,5870.6655958228,5752.04538615889,5681.33486388238,5968.69415225833,6008.39154947664,5991.09572788764,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,62.04588810474,0,0,0,0,1,0,0,0,gray,0,0,0,0,1,0,0,1,0,0,0,1,+-,-+,+-,+-,red,gray,gray
2025-03-27 17:00:00,5691.62,5725.89,5688.62,5695.94,5692.12,5726.39,5689.12,5696.34,64886,5691.87,5726.14,5688.87,5696.14,5707.505,-0.01528086482,-0.0319475253,5732.3549931416,5742.76615366345,5733.08022012856,5867.59199362254,5751.104560956,5682.43001494466,5968.72532824704,6008.49510505829,5989.48777144398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.43920106032,0,0,0,0,1,0,0,0,gray,0,0,0,0,0,0,0,0,0,1,0,3,--,-+,+-,+-,red,gray,gray
2025-03-27 21:00:00,5695.94,5700.32,5683.59,5696.83,5696.34,5700.92,5684.19,5697.43,6022,5696.14,5700.62,5683.89,5697.13,5692.255,-0.02394350326,-0.02460617885,5733.96268597686,5739.23288445552,5728.91517610285,5864.89140942454,5750.19202348407,5683.83648509334,5968.61614965752,6008.59673550868,5987.88271747562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277.81467950846,1,0,1,0,1,0,0,0,gray,0,0,0,0,0,0,0,0,0,0,1,2,-+,-+,+-,-+,red,gray,gray
2025-03-28 01:00:00,5696.83,5701.33,5693.07,5699.34,5697.43,5701.93,5693.67,5699.94,4150,5697.13,5701.63,5693.37,5699.64,5697.5,-0.03225946852,-0.0269455607,5732.29286397864,5735.95439889858,5724.10814088228,5862.08375313887,5748.66189578436,5685.77158847295,5968.55767180697,6008.75059072109,5986.26967777093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199.03614457832,0,0,0,0,1,0,0,0,gray,0,0,0,0,0,0,0,0,0,1,0,3,--,-+,+-,-+,red,gray,gray
2025-03-28 05:00:00,5699.34,5703.59,5667.35,5681.32,5699.94,5704.19,5668.06,5681.92,19882,5699.64,5703.89,5667.705,5681.62,5685.7975,-0.04399338727,-0.04108425264,5729.64033598028,5732.99197403626,5720.78751270582,5859.25292445192,5747.2779067701,5688.02477704728,5968.51609973321,6008.89629634031,5984.64277028641,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.99879287798,0,0,0,0,1,0,0,0,red,-1,1,0,0,0,0,0,1,0,0,0,1,+-,-+,+-,-+,red,gray,gray
2025-03-28 09:00:00,5681.32,5695.34,5667.84,5667.84,5681.92,5695.94,5668.44,5668.44,23317,5681.62,5695.64,5668.14,5668.14,5681.89,-0.05471808429,-0.04960089234,5728.47569475103,5729.47797728172,5715.08101016466,5856.39407136818,5745.72139937428,5690.25051889883,5968.52816578167,6009.0574495749,5982.80094549275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.9397006476,0,0,0,0,1,0,0,0,red,-1,1,0,0,0,0,0,1,0,0,0,1,+-,-+,+-,-+,red,gray,gray
2025-03-28 13:00:00,5667.84,5690.34,5586.63,5587.88,5668.44,5690.94,5587.13,5588.38,104774,5668.14,5690.64,5586.88,5588.13,5638.76,-0.08155965276,-0.08218794222,5727.28564130864,5726.73135512151,5711.56480813173,5853.82104809438,5744.24201029475,5692.40962128416,5968.64527276898,6009.08973519905,5981.17375142683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.03220264569,0,0,0,0,1,0,0,0,red,-1,1,0,0,0,0,0,1,0,0,0,1,+-,-+,+-,-+,red,gray,gray
2025-03-28 17:00:00,5587.88,5592.14,5561.94,5563.92,5588.38,5592.64,5562.54,5564.32,50053,5588.13,5592.39,5562.24,5564.12,5577.315,-0.12362920729,-0.13527495164,5726.12943813106,5722.42181073132,5706.41134650538,5851.5381711495,5742.82579192575,5694.41683830521,5968.81357443273,6009.09231144283,5979.46844759748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.23614968134,0,0,0,0,1,0,0,0,red,-1,1,0,0,0,0,0,0,0,1,0,3,--,-+,+-,-+,red,gray,gray
2025-03-30 21:00:00,5563.92,5563.92,5533.27,5539.53,5564.32,5564.32,5533.87,5540.13,21311,5564.12,5564.12,5533.57,5539.83,5548.845,-0.1788599512,-0.19742446672,5724.49486596713,5719.3065843899,5701.5070772043,5849.56886585569,5741.1467775271,5696.67016659035,5968.88274267031,6009.02528435509,5977.82184379472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.35319787903,0,0,0,0,1,0,0,0,red,-1,1,0,0,0,0,0,0,0,0,1,2,-+,+-,+-,+-,red,gray,gray
