Date,BidOpen,BidHigh,BidLow,BidClose,AskOpen,AskHigh,AskLow,AskClose,Volume,Open,High,Low,Close,Median,ao,ac,jaw,teeth,lips,bjaw,bteeth,blips,tjaw,tteeth,tlips,fh,fl,fh3,fl3,fh5,fl5,fh8,fl8,fh13,fl13,fh21,fl21,fh34,fl34,fh55,fl55,fh89,fl89,mfi,fdbb,fdbs,fdb,aoaz,aobz,zlc,zlcb,zlcs,zcol,zone_sig,sz,bz,acs,acb,ss,sb,mfi_sq,mfi_green,mfi_fade,mfi_fake,mfi_sig,mfi_str,mfi_str_D1,mfi_str_M1,mfi_str_W1,zcol_D1,zcol_M1,zcol_W1
2025-04-03 13:00:00,3076.14,3135.57,3054.04,3107.5,3076.44,3135.87,3054.34,3107.8,265913,3076.29,3135.72,3054.19,3107.65,3094.955,0.15723665101,-0.22411112421,3097.91230153196,3116.13118034097,3131.54156183655,2925.65338922874,2978.84374704238,3022.05924337922,2677.92576631089,2762.47207754924,2841.20908287748,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30.66040396671,0,0,0,1,0,0,0,0,red,-1,1,0,0,0,0,0,1,0,0,0,1,+-,++,++,++,gray,gray,gray
2025-04-03 17:00:00,3107.5,3119.83,3099.98,3115.05,3107.8,3120.55,3100.28,3115.35,59491,3107.65,3120.19,3100.13,3115.2,3110.16,0.09183985295,-0.31108499906,3099.68289372181,3119.88884529835,3130.99424946924,2926.69731182168,2979.78949709616,3024.87735386807,2678.45037966285,2762.92230468423,2842.22763091305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.71938612563,0,0,0,1,0,0,0,0,red,-1,1,0,0,0,0,0,0,0,0,1,2,-+,++,++,++,gray,gray,gray
2025-04-03 21:00:00,3115.05,3116.58,3105.86,3110.49,3115.35,3116.88,3106.24,3110.79,29128,3115.2,3116.73,3106.05,3110.64,3111.39,0.02152580834,-0.36330038125,3101.6757480509,3123.78461463606,3123.92089957539,2927.78517910458,2980.7461426035,3027.65434346018,2679.01449006162,2763.36370037228,2843.23396680949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.66575116726,0,0,0,1,0,0,0,0,red,-1,1,0,0,0,0,0,0,0,0,1,2,-+,-+,++,++,gray,gray,gray
2025-04-04 01:00:00,3110.49,3115.68,3086.64,3100.0,3110.79,3115.98,3087.46,3100.3,80080,3110.64,3115.83,3087.05,3100.15,3101.44,-0.02729721122,-0.33375670759,3103.43934435468,3124.41216280655,3118.12771966031,2928.8407950697,2981.92157637435,3030.17833335842,2679.6130855787,2763.8011415724,2844.2939392622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.93906093906,0,0,0,0,1,-1,0,1,gray,0,0,0,0,0,0,0,1,0,0,0,1,+-,-+,++,++,gray,gray,gray
2025-04-04 05:00:00,3100.0,3109.88,3078.26,3084.05,3100.3,3110.38,3078.56,3084.35,105258,3100.15,3110.13,3078.41,3084.2,3094.27,-0.03879454667,-0.22448832148,3106.72804863509,3120.81407995573,3116.53417572825,2929.86219063071,2983.09541134936,3032.83176473023,2680.20879357451,2764.26785341114,2845.28766190621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.13547663836,0,0,0,0,1,0,0,0,gray,0,0,0,0,1,0,0,1,0,0,0,1,+-,-+,++,++,gray,gray,gray
2025-04-04 09:00:00,3084.05,3136.69,3069.32,3071.18,3084.35,3137.15,3069.62,3071.48,260953,3084.2,3136.92,3069.47,3071.33,3103.195,-0.03764175824,-0.11145506246,3110.1378141247,3117.58169496126,3115.5053405826,2930.91070534273,2984.3642220521,3035.51774223816,2680.80406865787,2764.77432185144,2846.26604619853,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25.84756642001,0,0,0,0,1,0,0,0,gray,0,0,0,0,0,0,0,1,0,0,0,1,+-,-+,++,++,gray,gray,gray
2025-04-04 13:00:00,3071.18,3087.33,3016.8,3030.85,3071.48,3087.63,3017.1,3031.15,244875,3071.33,3087.48,3016.95,3031.0,3052.215,-0.11576167465,-0.21454828454,3111.57375149972,3116.65398309111,3112.69227246608,2932.00092213663,2985.71800892388,3038.51177923116,2681.4434345235,2765.29802647868,2847.25746254437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.80245022971,0,0,0,0,1,0,0,0,gray,0,0,0,0,0,0,0,0,0,0,1,2,-+,-+,++,++,gray,gray,gray
2025-04-04 17:00:00,3030.85,3040.88,3015.56,3035.92,3031.15,3041.42,3015.86,3036.22,113240,3031.0,3041.15,3015.71,3036.07,3028.43,-0.22118182692,-0.37476312284,3110.34711676897,3115.99598520472,3109.00781797286,2932.95675447217,2987.24586330708,3041.39672690083,2682.0871986229,2765.82419374702,2848.23369544337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.46555987284,1,0,1,0,1,0,0,0,red,-1,1,0,0,0,0,0,0,0,1,0,3,--,-+,++,++,gray,gray,gray
2025-04-06 21:00:00,3035.92,3035.92,2969.87,2978.72,3036.22,3036.22,2971.43,2979.45,101489,3036.07,3036.07,2970.65,2979.085,3003.36,-0.34099892938,-0.53553606088,3109.16310778674,3114.17648705413,3107.84525437829,2933.80656621968,2988.86134761059,3044.10447022728,2682.70816759207,2766.3555813275,2849.19422533612,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.4601878036,0,0,0,0,1,0,0,0,red,-1,1,0,0,0,0,0,0,0,0,1,2,-+,+-,++,++,red,gray,green
2025-04-07 01:00:00,2978.72,3055.67,2971.73,3035.5,2979.45,3055.97,2972.85,3035.8,158578,2979.085,3055.82,2972.29,3035.65,3014.055,-0.4387635341,-0.58559259787,3109.23979180315,3111.68817617236,3096.71920350263,2934.68446997002,2990.42159583585,3046.30875051471,2683.26960481331,2766.94146939047,2850.19315432684,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.67439367378,0,0,0,0,1,0,0,0,red,-1,1,0,0,0,0,0,1,0,0,0,1,+-,+-,++,++,red,gray,green
